Company,Role,Responsibility,Qualifications
RHB,Data Engineer,"Developing and maintaining ELT/ETL processes for moving data between systems, optimizing ELT/ETL workflows for performance and efficiency.
Cleaning and preprocessing data to make it suitable for analysis, implementing data transformation processes to convert raw data into a structured, usable format.
Monitoring data pipelines for performance and identifying bottlenecks.
Troubleshooting and resolving issues related to data processing and integration.
Creating documentation to facilitate knowledge transfer and support ongoing maintenance.
Able to effectively engage and communicate with stakeholders & other business units","Bachelor Degree - Bachelor degree or above in Computer Science, Economics, Finance, Mathematics, Statistics or equivalent..

A min. of 0-3 years experience in Data Engineering (banking & insurance experience is a plus)
Knowledge of relational databases and a good command of SQL
Understanding of basic data pipeline design, including data extraction, transformation, and loading processes.

Strong analytical and problem-solving skills.

Proficiency in programming languages: SAS, Python, SQL etc.
Big Data Technologies: Hands-on experience with Hadoop, Spark or similar technologies for large-scale data processing.
Data Quality and Testing: Understanding of data quality checks, monitoring, and testing procedures.
Basic knowledge of data visualization tools (e.g. Tableau, Power BI).
Understanding of statistical analysis, machine learning concepts, modeling conceptual ideas and database management."
Deriv,Senior Data Engineer,"Data Integrity & Security: Ensure data integrity while extracting data from both in-house and third-party complex sources, managing systematic storage while guaranteeing data security, accuracy, and accessibility.


Data Solutions Development: Leverage your expertise in data engineering to provide tangible business solutions and insights that drive informed decision-making.


Data Warehouse Architecture: Design and build a high-performance, secure, and scalable data warehouse and pipeline to support data science projects while following industry best practices.


Debugging & Improvement: Troubleshoot complex issues, recommend improvements, and ensure the efficient functioning of the ETL pipelined architecture.


Data Transformation: Transform raw data into easily digestible tables for Data Analysts, facilitating effective analysis and reporting.


Continuous Learning: Stay updated on company products and new releases to efficiently plan changes in our data warehouse or pipelines as needed.
","Bachelor's degree in Computer Science, Data Engineering, or a related field.


Experience:


Minimum of 7 years in the data engineering field, with a proven track record of successful data pipeline architecture.


Data Modeling Techniques: Expertise in data modeling techniques such as Kimball star schema, Anchor modeling, and Data vault methodologies.


Programming Skills: Competence in object-oriented or functional scripting languages, particularly Python.


Database Proficiency: Strong proficiency in both relational SQL and NoSQL databases, particularly PostgreSQL, with knowledge of PITR, Pg_basebackup, WAL archival, and Replication strategies.


Data Warehousing: Familiarity with column-oriented storage systems or data warehouses such as Parquet, Redshift, and BigQuery.


ETL/ELT Development: In-depth knowledge of developing and maintaining ETL/ELT data pipelines and utilizing workflow management tools like Airflow.


Hands-On GCP Experience: Practical experience with Google Cloud Platform (GCP) services, including BigQuery, scheduled queries, Cloud Storage, and Cloud Functions.


Data Accuracy: Familiarity with alerting and self-recovery methods to maintain data accuracy.


Analytical Skills: Strong analytical skills with an ability to translate complex data into optimal business decisions.


Peer Review Proficiency: Experience in peer reviewing pipeline codes and suggesting improvements.


Communication Skills: Strong communication and presentation skills with fluency in spoken and written English."
Cognizant,Data Engineer,,"Experience in Cloud ETL development activities using Informatica Cloud IICS, including data quality, data reconciliation
Strong SQL experience
Experience/knowledge in Databricks, Snowflake, Python is preferred
Cloud computing using Azure technologies - Azure SQL, Azure SQL DWH, Synapse, ADLS, ADF, Cosmos DB is preferred

Essential Skills: IICS, SQL

Nice to Have Skills: Databricks, Snowflake, Python"
OPC Business Support,Senior Data Engineer,"Expertise in Database technologies, good knowledge of SQL and experience developing across both Relational and NoSQL.
Expertise in message queues such as RabbitMQ, MQTT and distributed streaming platforms such as Apache Kafka.
Hands on experience in Data Warehouse (DWH) environment with data integration/ETL of large and complex data sets.
Hands-on coding experience in Java and Python.
Data modeling skills and schema design for DWH.
Understanding of performance tuning and scaling.
Familiarity with Business Intelligence (BI) and Visualization platforms such as Tableau.
Ability to communicate effectively in English.","Bachelor’s degree in Computer Science or related field (with industry experience).
Proven experience in streaming ETL and distributed streaming using Apache Kafka/KSQL.
6+ years of building large scale data-processing systems with 4+ years in Big Data technologies such as Hadoop and Spark.


Desired Qualifications:
Knowledge of the ELK stack (Elastic, Logstash, Kibana).
Understanding of data analysis and machine learning models.
Experience in the Financial Services industry."
NMG Consulting,Data Analyst,"Own and manage the analysis and reporting of assigned insights programmes: a) Analyse survey data using descriptive and inferential statistics (SAS); b) Summarise analyses through professional looking charts shown in static reports (PowerPoint) and interactive dashboards (PowerBI); c) Deliver insights to clients (internal and external) showing trends and action areas; and d) Manage survey data from different sources – face-to-face interviews, online and phone studies. This includes data import, storage, review and cleansing.
Interact proactively and positively with programme managers and colleagues from other areas of NMG to gain better understanding of the various programmes and deliver accurate outputs: a) Create and maintain continuous improvement actions; and) Review and enhance codes and data structure for more efficient work flow.","Hands-on experience in using MS Power BI, and related MS technologies with a good working knowledge of SAS (Base or EG) and in using SQL and macros. Practical experience in SAS is a MUST
Experience with leading or participating in the gathering and documenting of business logics/methodologies, analysing and reporting survey data
Strong visualisation skills (dashboard and/or graph designing) and academic performance
Knowledge in other programming languages like Python and R with UI/UX experience
Outstanding communication skills at all levels - able to build excellent working relationships with clients, team members and other stakeholders
Ability to solve problems effectively, think creatively and deliver quality outputs in a timely manner and make decisions independently in a fast-paced environment
Excellent attention to detail, organizational, prioritization and time management skills"
CAPCO,Data Analyst,"Manage the build of insights and data assets aligned to business outcomes and strategic data models.
Manage the gathering of detailed data requirements from stakeholders to deliver analytics use cases (e.g. triggers)
Manage the delivery of analytics PoCs that allow our businesses and clients to identify new opportunities
Manage the leveraging of current and emerging data and analytical techniques to address business challenges in an actionable way
Manage the unlocking of opportunities to derive higher returns with improved Data Quality
Management the uncovering of data inconsistencies across consuming systems
Adherence to the Data controls and Governance to check the movement of data
Looking for ways to improve the current systems and processes and automating pipelines where possible","Experience working within Financial Services and Banking as a Business Analyst OR Data Analyst
Strong Python and Pyspark skillsand hands on experience with big data analysis
SQL and Visualization skills are an added advantage and good to have
Good communication and stakeholder management skills
Ability to understand business scenarios and convert them into coding logic
Understanding of agile methods of working (JIRA)
Ability to convert technical problems to business problems and vice-versa"
CBRE,Data Analyst,"Manages the annual Budget process from facilitation of Data Collection to eventual review and analysis of P&Ls. Also manages monthly / quarterly forecasting and strategic planning processes.
Supports Finance teams through periodic training and update on systems / platform processes.
Establishes overall departmental priorities and ensures that all deadlines are met.
Support and manage FP&A finance tools; follow-up with checks to ensure smooth forecast, budget, and month end process. Example:
Set up new finance combos when they appear in the actuals, provide exception report for FP&A to confirm org location,
Add/update a new finance combo when requested by the business
Update OpEx rulebook when new FU is set up, update mapping from ERP to P'Soft
Manage TM1 combos, opening/ closing the tool
Testing of TM1 budget and forecast changes","Degree in Accounting, Finance, or related field preferred.
CPA/CA - fully qualified preferred.
Strong interpersonal and communication skills with the ability to present analysis in a clear and concise manner
Strong reasoning, decision-making, organizational, analytical, and quantitative skills.
Strong computer skills, including specific knowledge of Microsoft Office Suite (Excel, Word, Outlook, PowerPoint, etc.).
Broad experience with other software and financial systems is desired (particularly PowerBi, TM1 and PeopleSoft Financials).
Ability to plan, work in a fast-paced environment and manage multiple projects and work streams. Strong work ethic and adaptable.
Attention to detail, organised and methodical in your approach to work, and the ability to deliver high-quality work under pressure and on time. Ability to adapt to business environment changes.
Role will primarily be working in APAC time zone but will from time to time be required to work beyond APAC time zone."
Prism+,Senior Data Analyst,"Data Collection, Transformation and Storing:

Establish processes to collect and transform internal and relevant external data into structured and usable format, to derive value-added observations and insights.
Data Analysis and Reporting:

Collaborate with different stakeholders to identify data needs and deliver relevant insights.
Develop and maintain data reporting systems and dashboards.
Provide actionable insights through data analysis to support decision-making processes.
Produce and manage interactive dashboards to visualize data trends and metrics.
Data Quality and Integrity:

Ensure the accuracy, completeness, and consistency of data across all data systems.
Conduct regular data quality assessments and implement corrective actions as needed.
Database Management:

Develop and maintain robust database systems to meet the company’s data needs.
Optimize database performance, and manage database security and data protection.
Leadership:

Supervise and mentor data management staff.
Foster a collaborative and innovative team environment.","Bachelor’s degree in Computer Science, Information Systems, Data Management, Business Intelligence, Data Analytics, Statistics, or a related field.
Minimum of 4 years of experience in data management, reporting, analysis, or a related field.
Proven experience in data management, reporting, and data integration projects.
Advanced proficiency in Microsoft Excel and experience with data visualization tools (e.g., Tableau, Power BI) and producing interactive dashboards.
Experience in data warehousing, ETL processes, and data modeling.
Experience in SDLC.
Experience in SQL and/or Python/R.
Experience in Salesforce and Shopify is a plus.
Experience in Airtable and Zapier or other cloud collaboration services, is a plus.
Experience in database management systems (e.g.: AWS suite, MS Azure, MSSQL, etc.) is a plus.
Strong analytical and problem-solving skills.
Excellent organizational and project management abilities.
Effective communication and interpersonal skills."
CIEF Worldwide,Data Research Intern,"Assisting in gathering and organizing data from various sources
Conducting data cleaning, validation, and analysis
Building and maintaining data models and visualizations
Collaborating with team members to identify key business trends and patterns
Creating reports and presentations to communicate findings and recommendations
Assisting in ad-hoc data analysis projects as needed","Currently pursuing a Bachelor's or Master's degree in Business, Economics, Mathematics, Statistics, Computer Science, or a related field
Strong analytical and problem-solving skills
Proficient in data manipulation and analysis using tools such as Excel, SQL or Python
Familiarity with data visualization tools such as Apache Superset, Tableau, Power BI, or Google Data Studio
Solid understanding of statistical concepts and methods
Excellent communication skills, both written and verbal
Ability to work independently and collaboratively in a team environment
Attention to detail and the ability to manage multiple tasks simultaneously
We appreciate if additionally you:

Understand how logistic or finance companies work
Experience in DBT & Snowflake"
MindValley,Data Analyst,"Possess strong technical skills for analyzing diverse datasets, identifying trends and patterns using various variables to model scenarios, and presenting findings for informed decision-making.
Excel as a data storyteller, influencing and supporting other departments by validating comprehensive datasets and assumptions for effective decision-making.
Support stakeholders by challenging ideas, fostering constructive discussions, and resolving conflicting views to achieve positive outcomes.
Design, create, and monitor performance/projects, reporting ongoing and ad hoc metrics through valuable reports, presentations, and dashboards.
Deliver accurate and value-adding actionable insights to drive organisational improvement.
Provide Business Intelligence (BI) reporting on specified KPI areas outlined in the Mindvalley KPI requirements document.
Support ongoing ETL solution changes and implementations.
Ensure the correct flow of data in analytics software backend.
Apply data management practices, identify patterns and trends, address data quality issues, and collaborate with other teams to resolve discrepancies and enhance reporting procedures.","Bachelor's degree in Statistics, Computing, or Computer Science with a quantitative focus.
Over 3 years of relevant experience in Data teams, showcasing successful delivery of measurement solutions/products/models.
Deep understanding of analytics data instrumentation, extraction, and reporting usage.
Proficient in deploying and maintaining reporting data layers and ETL pipelines.
Experience in suggesting Robotic Process Automation/enhancements.
Strong hands-on skills in SQL and a scripting language (e.g., Python).
Advanced data query skills for manipulation through nested and join queries.
Expertise in data visualisation tools like Data Studio, Tableau, Power BI, or similar.
Demonstrated knowledge in ETL design, data warehousing, and database solutions.
Familiarity with cloud product offerings from GCP, Azure, AWS, AlibabaCloud, or similar."
